,name,last_modified,size
0,VNP46A4.A2016001.h00v01.001.2022263161929.h5,2022-09-20 20:19,1292287
1,VNP46A4.A2016001.h00v02.001.2021125200313.h5,2021-05-06 05:10,11325009
2,VNP46A4.A2016001.h00v03.001.2021125200535.h5,2021-05-06 07:00,1132842
3,VNP46A4.A2016001.h00v06.001.2021124195317.h5,2021-05-05 06:53,644704
4,VNP46A4.A2016001.h00v09.001.2021119030051.h5,2021-04-29 13:33,666566
5,VNP46A4.A2016001.h00v10.001.2021119121505.h5,2021-04-29 23:48,906135
6,VNP46A4.A2016001.h00v11.001.2021119033707.h5,2021-04-29 14:04,693280
7,VNP46A4.A2016001.h00v13.001.2021119033002.h5,2021-04-29 14:02,695213
8,VNP46A4.A2016001.h00v14.001.2021121130250.h5,2021-05-01 21:30,639056
9,VNP46A4.A2016001.h00v15.001.2021120135209.h5,2021-05-01 00:23,639056
10,VNP46A4.A2016001.h00v16.001.2022263165831.h5,2022-09-20 20:18,672809
11,VNP46A4.A2016001.h00v17.001.2022263163404.h5,2022-09-20 17:29,682713
12,VNP46A4.A2016001.h01v02.001.2021126111336.h5,2021-05-06 19:05,19614128
13,VNP46A4.A2016001.h01v03.001.2021120170340.h5,2021-05-01 02:36,3498712
14,VNP46A4.A2016001.h01v06.001.2021120233414.h5,2021-05-01 09:14,651917
15,VNP46A4.A2016001.h01v08.001.2021119032342.h5,2021-04-29 11:40,644435
16,VNP46A4.A2016001.h01v16.001.2022263162945.h5,2022-09-20 19:09,1329858
17,VNP46A4.A2016001.h01v17.001.2022263162411.h5,2022-09-20 17:19,773362
18,VNP46A4.A2016001.h02v01.001.2022263164301.h5,2022-09-20 20:13,3862920
19,VNP46A4.A2016001.h02v02.001.2021124191443.h5,2021-05-05 03:55,41101911
20,VNP46A4.A2016001.h02v03.001.2021119130347.h5,2021-04-30 00:22,7175098
21,VNP46A4.A2016001.h02v06.001.2021120135445.h5,2021-04-30 23:36,974394
22,VNP46A4.A2016001.h02v07.001.2021119044855.h5,2021-04-29 13:09,876118
23,VNP46A4.A2016001.h02v08.001.2021119032353.h5,2021-04-29 16:04,673326
24,VNP46A4.A2016001.h02v10.001.2021119033924.h5,2021-04-29 13:30,706316
25,VNP46A4.A2016001.h02v16.001.2022263162942.h5,2022-09-20 19:53,3460403
26,VNP46A4.A2016001.h02v17.001.2022263132446.h5,2022-09-20 14:34,1200824
27,VNP46A4.A2016001.h03v02.001.2021124192618.h5,2021-05-05 04:32,43564872
28,VNP46A4.A2016001.h03v03.001.2021119123944.h5,2021-04-29 23:46,952188
29,VNP46A4.A2016001.h03v09.001.2021121015458.h5,2021-05-01 11:51,668588
30,VNP46A4.A2016001.h03v10.001.2021120140111.h5,2021-05-01 01:23,1067650
31,VNP46A4.A2016001.h03v11.001.2021119133201.h5,2021-04-30 00:27,663711
32,VNP46A4.A2016001.h03v16.001.2022263165924.h5,2022-09-20 20:17,7957401
33,VNP46A4.A2016001.h03v17.001.2022263131347.h5,2022-09-20 14:30,1954977
34,VNP46A4.A2016001.h04v02.001.2021124213940.h5,2021-05-05 05:29,41244648
35,VNP46A4.A2016001.h04v03.001.2021120143122.h5,2021-04-30 22:35,14655610
36,VNP46A4.A2016001.h04v09.001.2021120140341.h5,2021-04-30 23:50,669391
37,VNP46A4.A2016001.h04v10.001.2021119034016.h5,2021-04-29 14:29,668123
