,name,last_modified,size
0,VNP46A3.A2017121.h00v01.001.2021126110526.h5,2021-05-06 11:08,606208
1,VNP46A3.A2017121.h00v02.001.2021126110526.h5,2021-05-06 11:12,608544
2,VNP46A3.A2017121.h00v03.001.2021125175850.h5,2021-05-05 18:05,706748
3,VNP46A3.A2017121.h00v06.001.2021125164749.h5,2021-05-05 16:58,613689
4,VNP46A3.A2017121.h00v09.001.2021125164746.h5,2021-05-05 16:58,631293
5,VNP46A3.A2017121.h00v10.001.2021125164750.h5,2021-05-05 17:02,827825
6,VNP46A3.A2017121.h00v11.001.2021125164755.h5,2021-05-05 16:58,655593
7,VNP46A3.A2017121.h00v13.001.2021125175903.h5,2021-05-05 18:05,659727
8,VNP46A3.A2017121.h00v14.001.2021125164752.h5,2021-05-05 16:58,608904
9,VNP46A3.A2017121.h00v15.001.2021125164750.h5,2021-05-05 17:02,608904
10,VNP46A3.A2017121.h00v16.001.2021125164746.h5,2021-05-05 16:58,637342
11,VNP46A3.A2017121.h01v02.001.2021126110523.h5,2021-05-06 11:12,608728
12,VNP46A3.A2017121.h01v03.001.2021125164738.h5,2021-05-05 16:58,892232
13,VNP46A3.A2017121.h01v06.001.2021125164800.h5,2021-05-05 16:58,619267
14,VNP46A3.A2017121.h01v08.001.2021125164800.h5,2021-05-05 17:02,613353
15,VNP46A3.A2017121.h01v16.001.2021125164756.h5,2021-05-05 16:58,937482
16,VNP46A3.A2017121.h02v01.001.2021126110520.h5,2021-05-06 11:08,606208
17,VNP46A3.A2017121.h02v02.001.2021126110525.h5,2021-05-06 11:12,608632
18,VNP46A3.A2017121.h02v03.001.2021125164747.h5,2021-05-05 16:58,637404
19,VNP46A3.A2017121.h02v06.001.2021125164758.h5,2021-05-05 17:02,895903
20,VNP46A3.A2017121.h02v07.001.2021125164755.h5,2021-05-05 16:58,803044
21,VNP46A3.A2017121.h02v08.001.2021125164815.h5,2021-05-05 17:02,635934
22,VNP46A3.A2017121.h02v10.001.2021125164804.h5,2021-05-05 17:02,670159
23,VNP46A3.A2017121.h02v16.001.2021125164758.h5,2021-05-05 16:58,2370162
24,VNP46A3.A2017121.h03v02.001.2021126110526.h5,2021-05-06 11:12,608632
25,VNP46A3.A2017121.h03v03.001.2021125164748.h5,2021-05-05 16:58,608904
26,VNP46A3.A2017121.h03v09.001.2021125164811.h5,2021-05-05 17:02,635487
27,VNP46A3.A2017121.h03v10.001.2021125164810.h5,2021-05-05 16:58,962694
28,VNP46A3.A2017121.h03v11.001.2021125164806.h5,2021-05-05 17:02,630297
29,VNP46A3.A2017121.h03v16.001.2021125164832.h5,2021-05-05 16:58,5294698
30,VNP46A3.A2017121.h04v02.001.2021126110527.h5,2021-05-06 11:12,608632
31,VNP46A3.A2017121.h04v03.001.2021125164756.h5,2021-05-05 16:58,942728
32,VNP46A3.A2017121.h04v09.001.2021125164842.h5,2021-05-05 17:02,634441
33,VNP46A3.A2017121.h04v10.001.2021125164806.h5,2021-05-05 17:02,632265
34,VNP46A3.A2017121.h04v11.001.2021125164813.h5,2021-05-05 17:02,656943
35,VNP46A3.A2017121.h04v16.001.2021125164845.h5,2021-05-05 16:58,7323723
36,VNP46A3.A2017121.h05v01.001.2021126110517.h5,2021-05-06 11:08,606208
37,VNP46A3.A2017121.h05v02.001.2021126110527.h5,2021-05-06 11:12,608544
38,VNP46A3.A2017121.h05v03.001.2021125164755.h5,2021-05-05 16:58,4030271
39,VNP46A3.A2017121.h05v04.001.2021125164828.h5,2021-05-05 17:02,9934332
40,VNP46A3.A2017121.h05v05.001.2021125164809.h5,2021-05-05 17:02,3858015
41,VNP46A3.A2017121.h05v16.001.2021125164804.h5,2021-05-05 16:58,12053969
42,VNP46A3.A2017121.h06v01.001.2021126110523.h5,2021-05-06 11:08,606208
