,name,last_modified,size
0,VNP46A4.A2020001.h00v01.001.2022263141234.h5,2022-09-20 18:41,1323655
1,VNP46A4.A2020001.h00v02.001.2021125090221.h5,2021-05-05 17:19,8826947
2,VNP46A4.A2020001.h00v03.001.2021118145651.h5,2021-04-29 00:55,1111790
3,VNP46A4.A2020001.h00v06.001.2021118145653.h5,2021-04-29 03:24,644479
4,VNP46A4.A2020001.h00v09.001.2021125122627.h5,2021-05-06 00:35,666136
5,VNP46A4.A2020001.h00v10.001.2021125013226.h5,2021-05-05 14:55,899640
6,VNP46A4.A2020001.h00v11.001.2021125122620.h5,2021-05-06 01:32,693450
7,VNP46A4.A2020001.h00v13.001.2021119101536.h5,2021-04-29 21:35,694795
8,VNP46A4.A2020001.h00v14.001.2021119101505.h5,2021-04-29 20:15,639056
9,VNP46A4.A2020001.h00v15.001.2021121003934.h5,2021-05-01 11:29,639056
10,VNP46A4.A2020001.h00v16.001.2022263141257.h5,2022-09-20 18:55,661063
11,VNP46A4.A2020001.h00v17.001.2022263141233.h5,2022-09-20 15:24,812178
12,VNP46A4.A2020001.h01v02.001.2021125090413.h5,2021-05-05 17:14,16877298
13,VNP46A4.A2020001.h01v03.001.2021121023450.h5,2021-05-01 11:44,3551146
14,VNP46A4.A2020001.h01v06.001.2021125013124.h5,2021-05-05 11:35,651661
15,VNP46A4.A2020001.h01v08.001.2021119101646.h5,2021-04-29 20:21,644011
16,VNP46A4.A2020001.h01v16.001.2022263141418.h5,2022-09-20 18:55,1158483
17,VNP46A4.A2020001.h01v17.001.2022263141328.h5,2022-09-20 15:36,1160284
18,VNP46A4.A2020001.h02v01.001.2022263141516.h5,2022-09-20 19:04,3986190
19,VNP46A4.A2020001.h02v02.001.2021125054856.h5,2021-05-05 16:30,33414259
20,VNP46A4.A2020001.h02v03.001.2021125122614.h5,2021-05-06 01:30,7635481
21,VNP46A4.A2020001.h02v06.001.2021125204016.h5,2021-05-06 05:15,961938
22,VNP46A4.A2020001.h02v07.001.2021125020100.h5,2021-05-05 11:54,864537
23,VNP46A4.A2020001.h02v08.001.2021119103914.h5,2021-04-29 20:34,672057
24,VNP46A4.A2020001.h02v10.001.2021125204001.h5,2021-05-06 06:13,705717
25,VNP46A4.A2020001.h02v16.001.2022263141333.h5,2022-09-20 17:59,2958425
26,VNP46A4.A2020001.h02v17.001.2022263141407.h5,2022-09-20 15:44,1703511
27,VNP46A4.A2020001.h03v02.001.2021125133015.h5,2021-05-05 21:56,35949280
28,VNP46A4.A2020001.h03v03.001.2021125203956.h5,2021-05-06 06:26,964680
29,VNP46A4.A2020001.h03v09.001.2021121004056.h5,2021-05-01 10:20,668330
30,VNP46A4.A2020001.h03v10.001.2021121004142.h5,2021-05-01 10:07,1057807
31,VNP46A4.A2020001.h03v11.001.2021127111539.h5,2021-05-07 19:34,663405
32,VNP46A4.A2020001.h03v16.001.2022263141339.h5,2022-09-20 18:04,6004004
