,name,last_modified,size
0,VNP46A3.A2020153.h00v01.001.2021126110926.h5,2021-05-06 11:16,606208
1,VNP46A3.A2020153.h00v02.001.2021126110933.h5,2021-05-06 11:16,606208
2,VNP46A3.A2020153.h00v03.001.2021125210010.h5,2021-05-05 21:12,608816
3,VNP46A3.A2020153.h00v06.001.2021125203249.h5,2021-05-05 20:41,613240
4,VNP46A3.A2020153.h00v09.001.2021125210110.h5,2021-05-05 21:18,630029
5,VNP46A3.A2020153.h00v10.001.2021125203252.h5,2021-05-05 20:40,813492
6,VNP46A3.A2020153.h00v11.001.2021125203252.h5,2021-05-05 20:40,652894
7,VNP46A3.A2020153.h00v13.001.2021125203250.h5,2021-05-05 20:41,649117
8,VNP46A3.A2020153.h00v14.001.2021125203254.h5,2021-05-05 20:42,608816
9,VNP46A3.A2020153.h00v15.001.2021125203255.h5,2021-05-05 20:41,608816
10,VNP46A3.A2020153.h01v02.001.2021126110933.h5,2021-05-06 11:16,606208
11,VNP46A3.A2020153.h01v03.001.2021125203300.h5,2021-05-05 20:48,608816
12,VNP46A3.A2020153.h01v06.001.2021125203316.h5,2021-05-05 20:55,618507
13,VNP46A3.A2020153.h01v08.001.2021125203255.h5,2021-05-05 20:41,612865
14,VNP46A3.A2020153.h02v01.001.2021126110934.h5,2021-05-06 11:16,606208
15,VNP46A3.A2020153.h02v02.001.2021126110932.h5,2021-05-06 11:16,606208
16,VNP46A3.A2020153.h02v03.001.2021125203300.h5,2021-05-05 20:39,608816
17,VNP46A3.A2020153.h02v06.001.2021125203307.h5,2021-05-05 20:42,885275
18,VNP46A3.A2020153.h02v07.001.2021125203305.h5,2021-05-05 20:41,778138
19,VNP46A3.A2020153.h02v08.001.2021125203309.h5,2021-05-05 20:43,635811
20,VNP46A3.A2020153.h02v10.001.2021125210017.h5,2021-05-05 21:12,664017
21,VNP46A3.A2020153.h03v02.001.2021126110930.h5,2021-05-06 11:16,606208
22,VNP46A3.A2020153.h03v03.001.2021125203319.h5,2021-05-05 20:41,608816
23,VNP46A3.A2020153.h03v09.001.2021125203317.h5,2021-05-05 20:45,632790
24,VNP46A3.A2020153.h03v10.001.2021125203316.h5,2021-05-05 20:42,928969
25,VNP46A3.A2020153.h03v11.001.2021125210008.h5,2021-05-05 21:12,627947
26,VNP46A3.A2020153.h04v02.001.2021126110932.h5,2021-05-06 11:16,606208
27,VNP46A3.A2020153.h04v03.001.2021125203319.h5,2021-05-05 20:41,608816
28,VNP46A3.A2020153.h04v09.001.2021125203315.h5,2021-05-05 20:41,631919
29,VNP46A3.A2020153.h04v10.001.2021125203320.h5,2021-05-05 20:42,630033
30,VNP46A3.A2020153.h04v11.001.2021125210018.h5,2021-05-05 21:18,654039
31,VNP46A3.A2020153.h05v01.001.2021126110933.h5,2021-05-06 11:16,606208
32,VNP46A3.A2020153.h05v02.001.2021126110934.h5,2021-05-06 11:16,606208
33,VNP46A3.A2020153.h05v03.001.2021125203317.h5,2021-05-05 20:40,608816
34,VNP46A3.A2020153.h05v04.001.2021125203319.h5,2021-05-05 20:41,5282159
35,VNP46A3.A2020153.h05v05.001.2021125203322.h5,2021-05-05 20:45,3551666
36,VNP46A3.A2020153.h06v01.001.2021126110932.h5,2021-05-06 11:16,606208
37,VNP46A3.A2020153.h06v03.001.2021125203322.h5,2021-05-05 20:39,608816
38,VNP46A3.A2020153.h06v04.001.2021125203322.h5,2021-05-05 20:40,7420834
39,VNP46A3.A2020153.h06v05.001.2021125210316.h5,2021-05-05 21:22,10873617
40,VNP46A3.A2020153.h06v06.001.2021125203329.h5,2021-05-05 20:43,2149266
41,VNP46A3.A2020153.h07v01.001.2021126110931.h5,2021-05-06 11:16,606208
42,VNP46A3.A2020153.h07v03.001.2021125203326.h5,2021-05-05 20:39,608816
