,name,last_modified,size
0,VNP46A4.A2019001.h00v01.001.2022263134312.h5,2022-09-20 18:12,1364208
1,VNP46A4.A2019001.h00v02.001.2021124124504.h5,2021-05-04 22:02,10439246
2,VNP46A4.A2019001.h00v03.001.2021117183743.h5,2021-04-28 18:00,1109266
3,VNP46A4.A2019001.h00v06.001.2021124124216.h5,2021-05-04 23:44,644347
4,VNP46A4.A2019001.h00v09.001.2021124124204.h5,2021-05-04 23:39,665781
5,VNP46A4.A2019001.h00v10.001.2021124124419.h5,2021-05-05 00:16,899919
6,VNP46A4.A2019001.h00v11.001.2021124124931.h5,2021-05-05 01:03,693069
7,VNP46A4.A2019001.h00v13.001.2021124124336.h5,2021-05-04 23:51,694385
8,VNP46A4.A2019001.h00v14.001.2021124124018.h5,2021-05-04 23:00,638872
9,VNP46A4.A2019001.h00v15.001.2021124123936.h5,2021-05-04 23:52,638872
10,VNP46A4.A2019001.h00v16.001.2022263135214.h5,2022-09-20 17:51,662639
11,VNP46A4.A2019001.h00v17.001.2022263134325.h5,2022-09-20 14:38,846865
12,VNP46A4.A2019001.h01v02.001.2021124123856.h5,2021-05-04 21:27,18626345
13,VNP46A4.A2019001.h01v03.001.2021117184424.h5,2021-04-28 18:11,3606637
14,VNP46A4.A2019001.h01v06.001.2021124124207.h5,2021-05-04 23:48,651620
15,VNP46A4.A2019001.h01v08.001.2021124174821.h5,2021-05-05 03:43,643799
16,VNP46A4.A2019001.h01v16.001.2022263135546.h5,2022-09-20 18:10,1157380
17,VNP46A4.A2019001.h01v17.001.2022263134713.h5,2022-09-20 14:41,962384
18,VNP46A4.A2019001.h02v01.001.2022263135343.h5,2022-09-20 18:32,4157459
19,VNP46A4.A2019001.h02v02.001.2021124174934.h5,2021-05-05 02:05,36714770
20,VNP46A4.A2019001.h02v03.001.2021117183514.h5,2021-04-28 18:04,7715725
21,VNP46A4.A2019001.h02v06.001.2021124180731.h5,2021-05-05 04:03,963210
